"ContainsNumber","AllNumber","ContainsPunctuation","Length","Gazetteer","FirstLetter","LastLetter","Shape","POS","Word","NER","confidence(O)","confidence(OG)","confidence(DT)","confidence(PS)","confidence(LC)","confidence(TI)","prediction(NER)"
"0","0","0",2,"0","업","체","KK","NNG","업체","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","이","이","K","VCP","이","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄴ","ㄴ","K","ETM","ㄴ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","구","글","KK","NNP","구글","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","이","이","K","JKS","이","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",2,"1","1","5","dd","SN","15","DT",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","일","일","K","NNB","일","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","0",2,"0","휴","대","KK","NNG","휴대","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","전","화","KK","NNG","전화","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","제","제","K","XPN","제","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","조","사","KK","NNG","조사","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","이","이","K","VCP","이","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄴ","ㄴ","K","ETM","ㄴ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",4,"1","모","라","KKKK","NNP","모토로라","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",4,"0","모","티","KKKK","NNG","모빌리티","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","를","를","K","JKO","를","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","현","금","KK","NNG","현금","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",3,"0","1","5","ddd","SN","125","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","억","억","K","NR","억","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","달","러","KK","NNB","달러","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1","(","(","p","SS","(","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","약","약","K","MM","약","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",2,"1","1","3","dd","SN","13","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","조","조","K","NR","조","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",1,"1","5","5","d","SN","5","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","0",1,"1","천","천","K","NR","천","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",3,"0","1","5","ddd","SN","125","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","억","억","K","NR","억","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","원","원","K","NNB","원","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",")",")","p","SS",")","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","에","에","K","JKB","에","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"0","ㄴ","고","KKK","EC","ㄴ다고","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","발","표","KK","NNG","발표","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EF","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",".",".","p","SF",".","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",2,"1","1","0","dd","SN","10","DT",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","일","일","K","NNB","일","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","0",2,"0","M","S","EE","SL","MS","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","는","는","K","JX","는","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","M","S","EE","SL","MS","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","가","가","K","JKS","가","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",4,"0","스","프","KKKK","NNP","스카이프","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","를","를","K","JKO","를","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",2,"1","8","5","dd","SN","85","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","억","억","K","NR","억","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","달","러","KK","NNB","달러","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","에","에","K","JKB","에","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EC","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","며","며","K","EC","며","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","두","두","K","MM","두","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","회","사","KK","NNG","회사","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"1","이","회","KKK","NNG","이사회","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","에","서","KK","JKB","에서","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","이","번","KK","NNG","이번","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","인","인","K","NNG","인","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","수","건","KK","NNG","수건","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","을","을","K","JKO","을","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","승","인","KK","NNG","승인","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EC","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","고","고","K","EC","고","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","공","식","KK","NNG","공식","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","발","표","KK","NNG","발표","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EF","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",".",".","p","SF",".","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","정","확","KK","XR","정확","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSA","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄴ","ㄴ","K","ETM","ㄴ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",2,"0","금","액","KK","NNG","금액","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","은","은","K","JX","은","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","알","리","KK","VV","알리","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","어","어","K","EC","어","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","지","지","K","VX","지","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","지","지","K","EC","지","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","않","않","K","VX","않","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","지","만","KK","EC","지만","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"0","허","슨","KKK","NNP","허친슨","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","은","은","K","JX","은","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",2,"1","1","0","dd","SN","10","DT",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","월","월","K","NNB","월","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","0",1,"0","께","께","K","JKB","께","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",5,"0","금","어","KKKKK","NNP","금아플로어","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","를","를","K","JKO","를","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","공","식","KK","NNG","공식","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","발","표","KK","NNG","발표","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","고","고","K","EC","고","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","현","대","KK","NNG","현대","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"0","ㆍ","ㆍ","K","SP","ㆍ","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","기","아","KK","NNG","기아","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","차","차","K","NNG","차","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","를","를","K","JKO","를","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","비","롯","KK","XR","비롯","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄴ","ㄴ","K","ETM","ㄴ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","한","국","KK","NNP","한국","LC",0.0,0.0,0.0,0.0,1.0,0.0,"LC"
"0","0","0",1,"1","차","차","K","NNG","차","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"0","완","품","KKK","NNG","완제품","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","에","에","K","JKB","에","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","본","격","KK","XR","본격","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","적","적","K","XSN","적","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","으","로","KK","JKB","으로","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","부","품","KK","NNG","부품","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","을","을","K","JKO","을","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","공","급","KK","NNG","공급","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄹ","ㄹ","K","ETM","ㄹ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","계","획","KK","NNG","계획","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","이","이","K","VCP","이","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EF","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",".",".","p","SF",".","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","롯","데","KK","NNP","롯데","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",2,"0","주","류","KK","NNG","주류","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","는","는","K","JX","는","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","충","북","KK","NNP","충북","LC",0.0,0.0,0.0,0.0,1.0,0.0,"LC"
"0","0","0",2,"1","지","역","KK","NNG","지역","O",0.0,0.0,0.0,0.0,1.0,0.0,"LC"
"0","0","0",2,"0","소","주","KK","NNG","소주","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","업","체","KK","NNG","업체","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","이","이","K","VCP","이","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄴ","ㄴ","K","ETM","ㄴ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","충","북","KK","NNP","충북","LC",0.0,0.0,0.0,0.0,1.0,0.0,"LC"
"0","0","0",2,"0","소","주","KK","NNG","소주","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","를","를","K","JKO","를","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",3,"0","3","0","ddd","SN","350","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","억","억","K","NR","억","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","원","원","K","NNB","원","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","에","에","K","JKB","에","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","다","고","KK","EC","다고","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",2,"1","2","1","dd","SN","21","DT",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","일","일","K","NNB","일","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","0",2,"0","발","표","KK","NNG","발표","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EF","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",".",".","p","SF",".","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"0","동","부","KKK","NNG","동남부","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","지","역","KK","NNG","지역","O",0.0,0.0,0.0,0.0,1.0,0.0,"LC"
"0","0","0",1,"1","에","에","K","JKB","에","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","전","력","KK","NNG","전력","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","을","을","K","JKO","을","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","공","급","KK","NNG","공급","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","는","는","K","ETM","는","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","미","국","KK","NNP","미국","LC",0.0,0.0,0.0,0.0,1.0,0.0,"LC"
"1","1","0",1,"1","3","3","d","SN","3","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","위","위","K","NNB","위","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",4,"0","유","티","KKKK","NNG","유틸러티","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","회","사","KK","NNG","회사","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","이","이","K","VCP","이","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄴ","ㄴ","K","ETM","ㄴ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","듀","크","KK","NNP","듀크","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"1","에","지","KKK","NNG","에너지","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","가","가","K","JKS","가","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",5,"0","프","스","KKKKK","NNP","프로그레스","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"1","에","지","KKK","NNG","에너지","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","를","를","K","JKO","를","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",3,"0","1","7","ddd","SN","137","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","억","억","K","NR","억","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","달","러","KK","NNB","달러","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","에","에","K","JKB","에","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","주","식","KK","NNG","주식","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"0","스","프","KKK","NNG","스와프","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","방","식","KK","NNG","방식","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","으","로","KK","JKB","으로","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","기","기","K","ETN","기","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","로","로","K","JKB","로","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","하","하","K","VV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","었","었","K","EP","었","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","다","고","KK","EC","다고","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",2,"1","1","0","dd","SN","10","DT",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","일","일","K","NNB","일","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","1",1,"1","(","(","p","SS","(","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","현","지","KK","NNG","현지","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","시","간","KK","NNG","시간","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",")",")","p","SS",")","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","발","표","KK","NNG","발표","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","다","다","K","EF","다","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","1",1,"1",".",".","p","SF",".","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","한","편","KK","NNG","한편","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","대","신","KK","NNG","대신","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","증","권","KK","NNG","증권","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","은","은","K","JX","은","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","중","앙","KK","NNG","중앙","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",2,"1","부","산","KK","NNP","부산","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","1",1,"1",",",",","p","SP",",","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","부","산","KK","NNP","부산","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"1","1","0",1,"1","2","2","d","SN","2","OG",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","1",1,"1",",",",","p","SP",",","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","도","민","KK","NNG","도민","OG",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","저","축","KK","NNG","저축","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",2,"1","은","행","KK","NNG","은행","OG",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","의","의","K","JKG","의","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","일","부","KK","NNG","일부","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","자","산","KK","NNG","자산","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","과","과","K","JC","과","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","부","채","KK","NNG","부채","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"1","인","수","KK","NNG","인수","O",0.0,1.0,0.0,0.0,0.0,0.0,"OG"
"0","0","0",1,"1","에","에","K","JKB","에","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","관","하","KK","VV","관하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","ㄴ","ㄴ","K","ETM","ㄴ","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","기","본","KK","NNG","기본","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",3,"0","합","서","KKK","NNG","합의서","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","를","를","K","JKO","를","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","체","결","KK","NNG","체결","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"1","하","하","K","XSV","하","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",1,"0","았","았","K","EP","았","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"0","0","0",2,"0","다","고","KK","EC","다고","O",1.0,0.0,0.0,0.0,0.0,0.0,"O"
"1","1","0",1,"1","8","8","d","SN","8","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
"0","0","0",1,"1","월","월","K","NNB","월","DT",0.0,0.0,1.0,0.0,0.0,0.0,"DT"
